Device ID	Device Name
b67c727329d6359f980b672f9d8a2d0a660b587c	LNCD SE
8a9ef8df692b82cf8328b33bd7c1c38e5b48a1cc	LNCD iPhone 5S
9f1f836e7c31f14b28af6ac9016ddf63fb21ba08	LNCD iPhone 6S
57c090691ce01683adfa2a5baea3decea6ff8d7c	LNCD iPhone 5sM
15cf305360f6f2fe33ca63d8b7c33c68b69a53fb	LNCD iPhone 6SD
f96e187ec1f51b6be1830c7965a482dc653765d2	LNCD iPhone D
120f9c0788675e38558ba93468f2ae017a481dba	LNCD 6S
4ccb1aecb45c1f03743fcc4312b08bfd9321a880	LNCD iPad
b67c727329d6359f980b672f9d8a2d0a660b587c	LNCD SE
84062deebe88f4ce0995f02cb4ad3af6fcfba5f0	LNCD iPhone 8
3a14119f413d07fb9403e8ff6810c2de188939c9	LNCD iPhone 6sB
e9ade76b1022b791c5a35c5f91010de98cffd675	LNCD iPhone 8M
882042939e573c7c44933dca6c88488852d754cc	LNCD iPhone X
